id,taiwan,china_simplified,china_traditional,english,confidence,category,reason,domain,match_type,context_before,context_after,context_exclude,autofix_safe
access-visit,存取,访问,訪問,access,0.95,mainland-term,台灣技術標準用語,tech,exact,,,,true
quality-physics,質量,质量,質量,mass,0.95,mainland-term,物理學質量單位,physics,context_sensitive,"密度,重量,公斤,kg,物理,物体,物體,物質,質點","守恆,轉換,定律,公式,m/s,單位",,false
quality-business,品質,质量,質量,quality,0.90,mainland-term,商業品質管理,business,context_sensitive,"產品,服務,商品,客戶","控制,管理,標準,檢驗,提升",物理,false
activate,啟用,激活,激活,activate,0.90,mainland-term,台灣系統操作標準,tech,exact,,,,true
add,新增,添加,添加,add,0.85,mainland-term,台灣介面操作慣用語,tech,exact,,,,true
algorithm,演算法,算法,算法,algorithm,0.95,mainland-term,台灣學術標準用語,tech,exact,,,,true
application,應用程式,应用程序,應用程序,application,0.90,mainland-term,台灣軟體開發標準,tech,exact,,,,true
array,陣列,数组,數組,array,0.95,mainland-term,台灣程式設計標準,tech,exact,,,,true
async,非同步,异步,異步,asynchronous,0.90,mainland-term,台灣程式設計標準 (工程師也常用 async),tech,exact,,,,true
attribute,屬性,属性,屬性,attribute,0.80,mainland-term,台灣物件導向標準,tech,exact,,,,true
audio,音訊,音频,音頻,audio,0.85,mainland-term,台灣多媒體標準,tech,exact,,,,true
auth,驗證,认证,認證,authentication,0.90,mainland-term,台灣資安標準用語,tech,exact,,,,true
authorization,授權,授权,授權,authorization,0.85,mainland-term,台灣權限管理標準,tech,exact,,,,true
bandwidth,頻寬,带宽,帶寬,bandwidth,0.95,mainland-term,台灣網路技術標準,tech,exact,,,,true
binary,二元,二进制,二進制,binary,0.90,mainland-term,台灣計算機科學標準,tech,exact,,,,true
boolean,布林,布尔,布爾,boolean,0.95,mainland-term,台灣程式語言標準,tech,exact,,,,true
build,建構,构建,構建,build,0.85,mainland-term,台灣軟體開發標準,tech,exact,,,,true
byte,位元組,字节,字節,byte,0.95,mainland-term,台灣計算機硬體標準,tech,exact,,,,true
cache,快取,缓存,緩存,cache,0.90,mainland-term,台灣系統技術標準 (工程師也常用 cache),tech,exact,,,,true
call,呼叫,调用,調用,call,0.90,mainland-term,台灣程式設計標準,tech,exact,,,,true
callback,回呼,回调,回調,callback,0.85,mainland-term,台灣非同步程式設計 (工程師也常用 callback),tech,exact,,,,true
certificate,憑證,证书,證書,certificate,0.90,mainland-term,台灣資安認證標準,tech,exact,,,,true
character,字元,字符,字符,character,0.90,mainland-term,台灣文字處理標準,tech,exact,,,,true
class,類別,类,類,class,0.95,mainland-term,台灣物件導向標準,tech,exact,,,,true
client,用戶端,客户端,客戶端,client,0.90,mainland-term,台灣網路架構標準,tech,exact,,,,true
clone,複製,克隆,克隆,clone,0.85,mainland-term,台灣版本控制標準,tech,exact,,,,true
cloud,雲端,云,雲,cloud,0.95,mainland-term,台灣雲端運算標準,tech,exact,,,,true
code,程式碼,代码,代碼,code,0.95,mainland-term,台灣軟體開發標準,tech,exact,,,,true
compile,編譯,编译,編譯,compile,0.95,mainland-term,台灣程式語言標準,tech,exact,,,,true
compiler,編譯器,编译器,編譯器,compiler,0.95,mainland-term,台灣程式語言工具,tech,exact,,,,true
component,組件,组件,組件,component,0.85,mainland-term,台灣軟體架構標準,tech,exact,,,,true
compress,壓縮,压缩,壓縮,compress,0.90,mainland-term,台灣資料處理標準,tech,exact,,,,true
concurrency,並行性,并发性,併發性,concurrency,0.85,mainland-term,台灣平行處理標準,tech,exact,,,,true
config,設定,配置,配置,configuration,0.90,mainland-term,台灣系統設定標準,tech,exact,,,,true
connect,連線,连接,連接,connect,0.90,mainland-term,台灣網路連接標準,tech,exact,,,,true
constructor,建構子,构造函数,構造函數,constructor,0.90,mainland-term,台灣物件導向標準,tech,exact,,,,true
control,控制項,控件,控件,control,0.90,mainland-term,台灣介面元件標準,tech,exact,,,,true
copy,複製,拷贝,拷貝,copy,0.85,mainland-term,台灣檔案操作標準,tech,exact,,,,true
create,建立,创建,創建,create,0.85,mainland-term,台灣系統操作標準,tech,exact,,,,true
cursor,游標,光标,光標,cursor,0.90,mainland-term,台灣介面操作標準,tech,exact,,,,true
custom,自訂,自定义,自定義,custom,0.85,mainland-term,台灣客製化標準,tech,exact,,,,true
data,資料,数据,數據,data,0.95,mainland-term,台灣資訊處理標準,tech,exact,,,,true
database,資料庫,数据库,數據庫,database,0.95,mainland-term,台灣資料管理標準,tech,exact,,,,true
debug,除錯,调试,調試,debug,0.90,mainland-term,台灣程式開發標準 (工程師也常用 debug),tech,exact,,,,true
default,預設,默认,默認,default,0.90,mainland-term,台灣系統設定標準,tech,exact,,,,true
