id,taiwan,china_simplified,china_traditional,english,confidence,category,reason,domain,match_type,context_before,context_after,context_exclude,autofix_safe
project-manager,專案經理,项目经理,項目經理,project manager,0.90,mainland-term,台灣職位名稱標準,business,exact,,,,true
project-management,專案管理,项目管理,項目管理,project management,0.90,mainland-term,台灣商業管理術語,business,exact,,,,true
project,專案,项目,項目,project,0.95,mainland-term,台灣商業術語標準,business,exact,,,,true
milestone,里程碑,里程碑,里程碑,milestone,0.85,mainland-term,台灣專案管理術語,business,exact,,,,true
deliverable,交付項目,可交付成果,可交付成果,deliverable,0.85,mainland-term,台灣專案管理術語,business,exact,,,,true
stakeholder,利害關係人,利益相关者,利益相關者,stakeholder,0.90,mainland-term,台灣商業管理術語,business,exact,,,,true
budget,預算,预算,預算,budget,0.85,mainland-term,台灣財務管理術語,business,exact,,,,true
revenue,營收,收入,收入,revenue,0.85,mainland-term,台灣財務術語標準,business,exact,,,,true
profit,利潤,利润,利潤,profit,0.85,mainland-term,台灣財務術語標準,business,exact,,,,true
loss,虧損,亏损,虧損,loss,0.90,mainland-term,台灣財務術語標準,business,exact,,,,true
investment,投資,投资,投資,investment,0.85,mainland-term,台灣金融術語標準,business,exact,,,,true
return,報酬,回报,回報,return,0.85,mainland-term,台灣投資術語標準,business,exact,,,,true
dividend,股利,股息,股息,dividend,0.90,mainland-term,台灣股市術語標準,business,exact,,,,true
stock,股票,股票,股票,stock,0.80,mainland-term,台灣證券術語標準,business,exact,,,,true
bond,債券,债券,債券,bond,0.85,mainland-term,台灣金融商品術語,business,exact,,,,true
futures,期貨,期货,期貨,futures,0.85,mainland-term,台灣衍生性商品,business,exact,,,,true
option-finance,選擇權,期权,期權,option,0.90,mainland-term,台灣衍生性商品,business,exact,,,,true
portfolio,投資組合,投资组合,投資組合,portfolio,0.85,mainland-term,台灣投資管理術語,business,exact,,,,true
asset,資產,资产,資產,asset,0.85,mainland-term,台灣會計術語標準,business,exact,,,,true
liability,負債,负债,負債,liability,0.85,mainland-term,台灣會計術語標準,business,exact,,,,true
equity,權益,权益,權益,equity,0.85,mainland-term,台灣會計術語標準,business,exact,,,,true
balance-sheet,資產負債表,资产负债表,資產負債表,balance sheet,0.90,mainland-term,台灣財務報表術語,business,exact,,,,true
income-statement,損益表,损益表,損益表,income statement,0.90,mainland-term,台灣財務報表術語,business,exact,,,,true
cash-flow,現金流量,现金流,現金流,cash flow,0.90,mainland-term,台灣財務管理術語,business,exact,,,,true
audit,稽核,审计,審計,audit,0.90,mainland-term,台灣會計稽核術語,business,exact,,,,true
compliance,法規遵循,合规,合規,compliance,0.90,mainland-term,台灣企業治理術語,business,exact,,,,true
governance,公司治理,治理,治理,governance,0.85,mainland-term,台灣企業管理術語,business,exact,,,,true
strategy,策略,战略,戰略,strategy,0.90,mainland-term,台灣企業規劃術語,business,exact,,,,true
tactics,戰術,战术,戰術,tactics,0.85,mainland-term,台灣企業執行術語,business,exact,,,,true
kpi,關鍵績效指標,关键绩效指标,關鍵績效指標,KPI,0.90,mainland-term,台灣績效管理術語,business,exact,,,,true
roi,投資報酬率,投资回报率,投資回報率,ROI,0.90,mainland-term,台灣財務指標術語,business,exact,,,,true
breakeven,損益兩平,盈亏平衡,盈虧平衡,breakeven,0.90,mainland-term,台灣財務分析術語,business,exact,,,,true
margin,利潤率,利润率,利潤率,margin,0.85,mainland-term,台灣財務指標術語,business,exact,,,,true
markup,加成,加价,加價,markup,0.85,mainland-term,台灣定價策略術語,business,exact,,,,true
discount,折扣,折扣,折扣,discount,0.80,mainland-term,台灣行銷術語標準,business,exact,,,,true
promotion,促銷,促销,促銷,promotion,0.85,mainland-term,台灣行銷活動術語,business,exact,,,,true
marketing,行銷,营销,營銷,marketing,0.90,mainland-term,台灣商業功能術語,business,exact,,,,true
advertising,廣告,广告,廣告,advertising,0.85,mainland-term,台灣行銷傳播術語,business,exact,,,,true
brand,品牌,品牌,品牌,brand,0.80,mainland-term,台灣行銷管理術語,business,exact,,,,true
customer,客戶,客户,客戶,customer,0.85,mainland-term,台灣顧客關係術語,business,exact,,,,true
client-business,客戶,客户,客戶,client,0.85,mainland-term,台灣商業關係術語,business,exact,,,,true
vendor,供應商,供应商,供應商,vendor,0.85,mainland-term,台灣供應鏈術語,business,exact,,,,true
supplier,供應商,供货商,供貨商,supplier,0.85,mainland-term,台灣供應鏈術語,business,exact,,,,true
procurement,採購,采购,采購,procurement,0.90,mainland-term,台灣供應鏈術語,business,exact,,,,true
inventory,庫存,库存,庫存,inventory,0.85,mainland-term,台灣物料管理術語,business,exact,,,,true
logistics,物流,物流,物流,logistics,0.80,mainland-term,台灣供應鏈術語,business,exact,,,,true
warehouse,倉庫,仓库,倉庫,warehouse,0.85,mainland-term,台灣物流設施術語,business,exact,,,,true
distribution,配銷,分销,分銷,distribution,0.90,mainland-term,台灣通路管理術語,business,exact,,,,true
retail,零售,零售,零售,retail,0.80,mainland-term,台灣商業模式術語,business,exact,,,,true
wholesale,批發,批发,批發,wholesale,0.85,mainland-term,台灣商業模式術語,business,exact,,,,true
e-commerce,電子商務,电子商务,電子商務,e-commerce,0.85,mainland-term,台灣數位商業術語,business,exact,,,,true
b2b,企業對企業,B2B,B2B,B2B,0.85,mainland-term,台灣商業模式術語,business,exact,,,,true
b2c,企業對消費者,B2C,B2C,B2C,0.85,mainland-term,台灣商業模式術語,business,exact,,,,true
c2c,消費者對消費者,C2C,C2C,C2C,0.85,mainland-term,台灣商業模式術語,business,exact,,,,true
franchise,加盟,特许经营,特許經營,franchise,0.90,mainland-term,台灣商業模式術語,business,exact,,,,true
merger,併購,并购,併購,merger,0.85,mainland-term,台灣企業發展術語,business,exact,,,,true
acquisition,收購,收购,收購,acquisition,0.85,mainland-term,台灣企業發展術語,business,exact,,,,true
ipo,首次公開發行,首次公开募股,首次公開募股,IPO,0.90,mainland-term,台灣資本市場術語,business,exact,,,,true
listing,上市,上市,上市,listing,0.80,mainland-term,台灣證券市場術語,business,exact,,,,true
delisting,下市,退市,退市,delisting,0.90,mainland-term,台灣證券市場術語,business,exact,,,,true
shareholder,股東,股东,股東,shareholder,0.85,mainland-term,台灣公司組織術語,business,exact,,,,true
board-of-directors,董事會,董事会,董事會,board of directors,0.85,mainland-term,台灣公司治理術語,business,exact,,,,true
ceo,執行長,首席执行官,首席執行官,CEO,0.90,mainland-term,台灣企業職位術語,business,exact,,,,true
