id,taiwan,china_simplified,china_traditional,english,confidence,category,reason,domain,match_type,context_before,context_after,context_exclude,autofix_safe
hardware,硬體,硬件,硬件,hardware,0.95,mainland-term,台灣計算機硬體標準,tech,exact,,,,true
software,軟體,软件,軟件,software,0.95,mainland-term,台灣技術標準用語,tech,exact,,,,true
firmware,韌體,固件,固件,firmware,0.95,mainland-term,台灣硬體技術標準,tech,exact,,,,true
cpu,中央處理器,中央处理器,中央處理器,CPU,0.95,mainland-term,台灣電腦硬體標準,tech,exact,,,,true
gpu,圖形處理器,图形处理器,圖形處理器,GPU,0.95,mainland-term,台灣顯示技術標準,tech,exact,,,,true
ram,隨機存取記憶體,随机存取存储器,隨機存取存儲器,RAM,0.90,mainland-term,台灣記憶體技術,tech,exact,,,,true
rom,唯讀記憶體,只读存储器,只讀存儲器,ROM,0.90,mainland-term,台灣記憶體技術,tech,exact,,,,true
memory,記憶體,内存,內存,memory,0.95,mainland-term,台灣計算機硬體標準,tech,exact,,,,true
ssd,固態硬碟,固态硬盘,固態硬盤,SSD,0.90,mainland-term,台灣儲存裝置標準,tech,exact,,,,true
hdd,傳統硬碟,机械硬盘,機械硬盤,HDD,0.85,mainland-term,台灣儲存裝置標準,tech,exact,,,,true
disk,磁碟,磁盘,磁盤,disk,0.90,mainland-term,台灣儲存裝置標準,tech,exact,,,,true
drive,磁碟機,驱动器,驅動器,drive,0.90,mainland-term,台灣儲存設備標準,tech,exact,,,,true
motherboard,主機板,主板,主板,motherboard,0.90,mainland-term,台灣電腦組件標準,tech,exact,,,,true
chipset,晶片組,芯片组,芯片組,chipset,0.90,mainland-term,台灣晶片技術標準,tech,exact,,,,true
chip,晶片,芯片,芯片,chip,0.95,mainland-term,台灣半導體標準,tech,exact,,,,true
silicon,矽,硅,硅,silicon,0.95,mainland-term,台灣半導體材料,tech,exact,,,,true
bios,基本輸入輸出系統,基本输入输出系统,基本輸入輸出系統,BIOS,0.90,mainland-term,台灣韌體標準,tech,exact,,,,true
uefi,統一可延伸韌體介面,统一可扩展固件接口,統一可擴展固件接口,UEFI,0.90,mainland-term,台灣韌體標準,tech,exact,,,,true
usb,通用序列匯流排,通用串行总线,通用串行總線,USB,0.90,mainland-term,台灣介面標準,tech,exact,,,,true
hdmi,高畫質多媒體介面,高清多媒体接口,高清多媒體接口,HDMI,0.90,mainland-term,台灣顯示介面標準,tech,exact,,,,true
displayport,顯示埠,显示端口,顯示端口,DisplayPort,0.85,mainland-term,台灣顯示介面標準,tech,exact,,,,true
thunderbolt,雷電,雷电,雷電,Thunderbolt,0.85,mainland-term,台灣高速介面標準,tech,exact,,,,true
screen,螢幕,屏幕,屏幕,screen,0.95,mainland-term,台灣顯示裝置標準,tech,exact,,,,true
display,顯示器,显示器,顯示器,display,0.90,mainland-term,台灣顯示裝置標準,tech,exact,,,,true
monitor,監視器,监视器,監視器,monitor,0.85,mainland-term,台灣顯示設備標準,tech,exact,,,,true
resolution,解析度,分辨率,分辨率,resolution,0.90,mainland-term,台灣顯示技術標準,tech,exact,,,,true
refresh-rate,更新率,刷新率,刷新率,refresh rate,0.90,mainland-term,台灣顯示技術標準,tech,exact,,,,true
pixel,像素,像素,像素,pixel,0.80,mainland-term,台灣顯示技術標準,tech,exact,,,,true
lcd,液晶顯示器,液晶显示器,液晶顯示器,LCD,0.90,mainland-term,台灣顯示技術標準,tech,exact,,,,true
led,發光二極體,发光二极管,發光二極管,LED,0.90,mainland-term,台灣顯示技術標準,tech,exact,,,,true
oled,有機發光二極體,有机发光二极管,有機發光二極管,OLED,0.90,mainland-term,台灣顯示技術標準,tech,exact,,,,true
amoled,主動矩陣有機發光二極體,主动矩阵有机发光二极管,主動矩陣有機發光二極管,AMOLED,0.90,mainland-term,台灣顯示技術標準,tech,exact,,,,true
touchpad,觸控板,触控板,觸控板,touchpad,0.85,mainland-term,台灣輸入裝置標準,tech,exact,,,,true
touchscreen,觸控螢幕,触摸屏,觸摸屏,touchscreen,0.90,mainland-term,台灣輸入裝置標準,tech,exact,,,,true
keyboard,鍵盤,键盘,鍵盤,keyboard,0.85,mainland-term,台灣輸入裝置標準,tech,exact,,,,true
mouse,滑鼠,鼠标,鼠標,mouse,0.90,mainland-term,台灣週邊裝置標準,tech,exact,,,,true
webcam,網路攝影機,网络摄像头,網絡攝像頭,webcam,0.90,mainland-term,台灣視訊裝置標準,tech,exact,,,,true
microphone,麥克風,麦克风,麥克風,microphone,0.85,mainland-term,台灣音訊裝置標準,tech,exact,,,,true
speaker,揚聲器,扬声器,揚聲器,speaker,0.85,mainland-term,台灣音訊裝置標準,tech,exact,,,,true
headphone,耳機,耳机,耳機,headphone,0.80,mainland-term,台灣音訊裝置標準,tech,exact,,,,true
printer,印表機,打印机,打印機,printer,0.90,mainland-term,台灣週邊裝置標準,tech,exact,,,,true
