id,taiwan,china_simplified,china_traditional,english,confidence,category,reason,domain,match_type,context_before,context_after,context_exclude,autofix_safe
network,網路,网络,網絡,network,0.95,mainland-term,台灣網路技術標準,tech,exact,,,,true
internet,網際網路,互联网,互聯網,internet,0.90,mainland-term,台灣網路技術標準,tech,exact,,,,true
client,用戶端,客户端,客戶端,client,0.90,mainland-term,台灣網路架構標準,tech,exact,,,,true
server,伺服器,服务器,服務器,server,0.95,mainland-term,台灣網路服務標準,tech,exact,,,,true
cloud,雲端,云,雲,cloud,0.95,mainland-term,台灣雲端運算標準,tech,exact,,,,true
virtualization,虛擬化,虚拟化,虛擬化,virtualization,0.95,mainland-term,台灣雲端技術標準,tech,exact,,,,true
docker,Docker,Docker,Docker,Docker,0.85,mainland-term,台灣容器技術標準,tech,exact,,,,true
kubernetes,Kubernetes,Kubernetes,Kubernetes,K8s,0.85,mainland-term,台灣容器編排標準,tech,exact,,,,true
microservice,微服務,微服务,微服務,microservice,0.95,mainland-term,台灣架構設計標準,tech,exact,,,,true
container-orchestration,容器編排,容器编排,容器編排,container orchestration,0.90,mainland-term,台灣容器技術標準,tech,exact,,,,true
middleware,中介軟體,中间件,中間件,middleware,0.90,mainland-term,台灣系統架構標準,tech,exact,,,,true
proxy,代理伺服器,代理服务器,代理服務器,proxy,0.90,mainland-term,台灣網路架構標準,tech,exact,,,,true
load-balancer,負載平衡器,负载均衡器,負載均衡器,load balancer,0.90,mainland-term,台灣網路架構標準,tech,exact,,,,true
scalability,擴充性,可扩展性,可擴展性,scalability,0.85,mainland-term,台灣系統設計標準,tech,exact,,,,true
high-availability,高可用性,高可用性,高可用性,high availability,0.85,mainland-term,台灣系統架構標準,tech,exact,,,,true
failover,故障轉移,故障转移,故障轉移,failover,0.90,mainland-term,台灣容錯技術標準,tech,exact,,,,true
backup,備份,备份,備份,backup,0.85,mainland-term,台灣資料保護標準,tech,exact,,,,true
restore,復原,恢复,恢復,restore,0.85,mainland-term,台灣資料救援標準,tech,exact,,,,true
