id,taiwan,china_simplified,china_traditional,english,confidence,category,reason,domain,match_type,context_before,context_after,context_exclude,autofix_safe
operating-system,作業系統,操作系统,操作系統,OS,0.95,mainland-term,台灣系統術語標準,tech,exact,,,,true
kernel,核心,内核,內核,kernel,0.90,mainland-term,台灣作業系統核心,tech,exact,,,,true
shell,命令殼層,外壳,外殼,shell,0.90,mainland-term,台灣系統介面術語,tech,exact,,,,true
terminal,終端機,终端,終端,terminal,0.90,mainland-term,台灣命令列介面,tech,exact,,,,true
console,主控台,控制台,控制台,console,0.90,mainland-term,台灣系統管理介面,tech,exact,,,,true
command-line,命令列,命令行,命令行,command line,0.90,mainland-term,台灣系統操作介面,tech,exact,,,,true
gui,圖形介面,图形界面,圖形界面,GUI,0.90,mainland-term,台灣使用者介面類型,tech,exact,,,,true
desktop-environment,桌面環境,桌面环境,桌面環境,desktop environment,0.90,mainland-term,台灣作業系統介面,tech,exact,,,,true
boot,開機,启动,啟動,boot,0.85,mainland-term,台灣系統啟動術語,tech,exact,,,,true
bootloader,開機載入器,引导程序,引導程序,bootloader,0.90,mainland-term,台灣系統啟動元件,tech,exact,,,,true
startup,啟動,启动,啟動,startup,0.85,mainland-term,台灣系統操作術語,tech,exact,,,,true
shutdown,關機,关机,關機,shutdown,0.90,mainland-term,台灣系統操作術語,tech,exact,,,,true
restart,重新啟動,重启,重啟,restart,0.90,mainland-term,台灣系統操作術語,tech,exact,,,,true
sleep,睡眠,睡眠,睡眠,sleep,0.85,mainland-term,台灣電源管理術語,tech,exact,,,,true
hibernate,休眠,休眠,休眠,hibernate,0.85,mainland-term,台灣電源管理術語,tech,exact,,,,true
standby,待命,待机,待機,standby,0.90,mainland-term,台灣電源管理術語,tech,exact,,,,true
process-os,處理程序,进程,進程,process,0.90,mainland-term,台灣系統執行單位,tech,exact,,,,true
thread-os,執行緒,线程,線程,thread,0.95,mainland-term,台灣程式執行單位,tech,exact,,,,true
service,服務,服务,服務,service,0.85,mainland-term,台灣系統背景程序,tech,exact,,,,true
daemon,常駐程式,守护进程,守護進程,daemon,0.90,mainland-term,台灣系統背景程序,tech,exact,,,,true
scheduler-os,排程器,调度器,調度器,scheduler,0.90,mainland-term,台灣系統資源管理,tech,exact,,,,true
priority,優先權,优先级,優先級,priority,0.90,mainland-term,台灣系統資源分配,tech,exact,,,,true
resource,資源,资源,資源,resource,0.85,mainland-term,台灣系統管理術語,tech,exact,,,,true
allocation,配置,分配,分配,allocation,0.85,mainland-term,台灣資源管理術語,tech,exact,,,,true
deallocation,釋放,释放,釋放,deallocation,0.85,mainland-term,台灣資源管理術語,tech,exact,,,,true
memory-management,記憶體管理,内存管理,內存管理,memory management,0.95,mainland-term,台灣系統管理功能,tech,exact,,,,true
virtual-memory,虛擬記憶體,虚拟内存,虛擬內存,virtual memory,0.95,mainland-term,台灣記憶體技術,tech,exact,,,,true
swap,交換空間,交换空间,交換空間,swap,0.85,mainland-term,台灣記憶體管理,tech,exact,,,,true
paging,分頁,分页,分頁,paging,0.85,mainland-term,台灣記憶體管理技術,tech,exact,,,,true
page-fault,分頁錯誤,页面错误,頁面錯誤,page fault,0.90,mainland-term,台灣記憶體錯誤類型,tech,exact,,,,true
interrupt,中斷,中断,中斷,interrupt,0.85,mainland-term,台灣系統事件處理,tech,exact,,,,true
exception-os,例外,异常,異常,exception,0.90,mainland-term,台灣系統錯誤處理,tech,exact,,,,true
signal,信號,信号,信號,signal,0.85,mainland-term,台灣行程間通訊,tech,exact,,,,true
pipe,管道,管道,管道,pipe,0.80,mainland-term,台灣行程間通訊,tech,exact,,,,true
socket,通訊端,套接字,套接字,socket,0.90,mainland-term,台灣網路程式設計,tech,exact,,,,true
file-system,檔案系統,文件系统,文件系統,file system,0.90,mainland-term,台灣系統儲存管理,tech,exact,,,,true
permission,權限,权限,權限,permission,0.85,mainland-term,台灣系統安全術語,tech,exact,,,,true
privilege,特權,特权,特權,privilege,0.85,mainland-term,台灣系統安全術語,tech,exact,,,,true
administrator,系統管理員,管理员,管理員,administrator,0.90,mainland-term,台灣使用者權限,tech,exact,,,,true
root,根使用者,根用户,根用戶,root,0.90,mainland-term,台灣系統最高權限,tech,exact,,,,true
guest,訪客,访客,訪客,guest,0.85,mainland-term,台灣使用者權限,tech,exact,,,,true
user,使用者,用户,用戶,user,0.85,mainland-term,台灣使用者介面標準,tech,exact,,,,true
group,群組,组,組,group,0.85,mainland-term,台灣使用者管理術語,tech,exact,,,,true
mount,掛載,挂载,掛載,mount,0.90,mainland-term,台灣系統操作術語,tech,exact,,,,true
unmount,卸載,卸载,卸載,unmount,0.90,mainland-term,台灣系統操作術語,tech,exact,,,,true
partition,分割區,分区,分區,partition,0.90,mainland-term,台灣磁碟管理術語,tech,exact,,,,true
format-disk,格式化,格式化,格式化,format,0.80,mainland-term,台灣磁碟操作術語,tech,exact,,,,true
defragment,重組,碎片整理,碎片整理,defragment,0.90,mainland-term,台灣磁碟優化術語,tech,exact,,,,true
registry,登錄檔,注册表,註冊表,registry,0.90,mainland-term,台灣Windows系統術語,tech,exact,,,,true
registry-key,登錄機碼,注册表项,註冊表項,registry key,0.90,mainland-term,台灣Windows系統術語,tech,exact,,,,true
environment-variable,環境變數,环境变量,環境變量,environment variable,0.90,mainland-term,台灣系統設定術語,tech,exact,,,,true
