id,taiwan,china_simplified,china_traditional,english,confidence,category,reason,domain,match_type,context_before,context_after,context_exclude,autofix_safe
window,視窗,窗口,窗口,window,0.90,mainland-term,台灣介面設計標準,tech,exact,,,,true
dialog,對話方塊,对话框,對話框,dialog,0.90,mainland-term,台灣介面元件標準,tech,exact,,,,true
toolbar,工具列,工具栏,工具欄,toolbar,0.90,mainland-term,台灣介面元件標準,tech,exact,,,,true
menubar,選單列,菜单栏,菜單欄,menubar,0.90,mainland-term,台灣介面元件標準,tech,exact,,,,true
menu,選單,菜单,菜單,menu,0.90,mainland-term,台灣介面設計標準,tech,exact,,,,true
statusbar,狀態列,状态栏,狀態欄,statusbar,0.90,mainland-term,台灣介面元件標準,tech,exact,,,,true
scrollbar,捲軸,滚动条,滾動條,scrollbar,0.90,mainland-term,台灣介面元件標準,tech,exact,,,,true
dropdown,下拉式選單,下拉菜单,下拉菜單,dropdown,0.90,mainland-term,台灣介面元件標準,tech,exact,,,,true
checkbox,核取方塊,复选框,複選框,checkbox,0.90,mainland-term,台灣介面元件標準,tech,exact,,,,true
radiobutton,選項按鈕,单选按钮,單選按鈕,radio button,0.90,mainland-term,台灣介面元件標準,tech,exact,,,,true
textbox,文字方塊,文本框,文本框,textbox,0.90,mainland-term,台灣介面元件標準,tech,exact,,,,true
listbox,清單方塊,列表框,列表框,listbox,0.90,mainland-term,台灣介面元件標準,tech,exact,,,,true
combobox,下拉式方塊,组合框,組合框,combobox,0.90,mainland-term,台灣介面元件標準,tech,exact,,,,true
tab,分頁,标签页,標籤頁,tab,0.90,mainland-term,台灣介面元件標準,tech,exact,,,,true
control,控制項,控件,控件,control,0.90,mainland-term,台灣介面元件標準,tech,exact,,,,true
button,按鈕,按钮,按鈕,button,0.85,mainland-term,台灣介面元件標準,tech,exact,,,,true
icon,圖示,图标,圖標,icon,0.85,mainland-term,台灣介面設計標準,tech,exact,,,,true
image,影像,图像,圖像,image,0.85,mainland-term,台灣多媒體標準,tech,exact,,,,true
cursor,游標,光标,光標,cursor,0.90,mainland-term,台灣介面操作標準,tech,exact,,,,true
pointer,指標,指针,指針,pointer,0.90,mainland-term,台灣介面元素標準,tech,exact,,,,true
clipboard,剪貼簿,剪贴板,剪貼板,clipboard,0.90,mainland-term,台灣系統功能標準,tech,exact,,,,true
paste,貼上,粘贴,粘貼,paste,0.90,mainland-term,台灣編輯操作標準,tech,exact,,,,true
cut,剪下,剪切,剪切,cut,0.90,mainland-term,台灣編輯操作標準,tech,exact,,,,true
copy,複製,拷贝,拷貝,copy,0.85,mainland-term,台灣檔案操作標準,tech,exact,,,,true
undo,復原,撤销,撤銷,undo,0.90,mainland-term,台灣編輯操作標準,tech,exact,,,,true
find,尋找,查找,查找,find,0.90,mainland-term,台灣編輯操作標準,tech,exact,,,,true
replace,取代,替换,替換,replace,0.90,mainland-term,台灣編輯操作標準,tech,exact,,,,true
refresh,重新整理,刷新,刷新,refresh,0.90,mainland-term,台灣瀏覽器操作,tech,exact,,,,true
reload,重新載入,重新加载,重新加載,reload,0.90,mainland-term,台灣瀏覽器操作,tech,exact,,,,true
home-page,首頁,主页,主頁,homepage,0.90,mainland-term,台灣網頁標準術語,tech,exact,,,,true
bookmark,書籤,收藏夹,收藏夾,bookmark,0.90,mainland-term,台灣瀏覽器功能,tech,exact,,,,true
favorites,我的最愛,收藏,收藏,favorites,0.90,mainland-term,台灣瀏覽器功能,tech,exact,,,,true
history,歷程記錄,历史记录,歷史記錄,history,0.85,mainland-term,台灣瀏覽器功能,tech,exact,,,,true
extension-browser,擴充套件,浏览器扩展,瀏覽器擴展,browser extension,0.90,mainland-term,台灣瀏覽器功能,tech,exact,,,,true
incognito,無痕模式,隐身模式,隱身模式,incognito,0.90,mainland-term,台灣瀏覽器隱私,tech,exact,,,,true
private-browsing,隱私瀏覽,隐私浏览,隱私瀏覽,private browsing,0.85,mainland-term,台灣瀏覽器隱私,tech,exact,,,,true
pop-up,彈出視窗,弹窗,彈窗,pop-up,0.90,mainland-term,台灣網頁元件標準,tech,exact,,,,true
modal,強制回應視窗,模态窗口,模態窗口,modal,0.85,mainland-term,台灣介面設計標準,tech,exact,,,,true
wizard,精靈,向导,嚮導,wizard,0.90,mainland-term,台灣介面設計標準,tech,exact,,,,true
template,範本,模板,模板,template,0.90,mainland-term,台灣文件標準術語,tech,exact,,,,true
preset,預設集,预设,預設,preset,0.85,mainland-term,台灣系統設定術語,tech,exact,,,,true
preference,偏好設定,首选项,首選項,preference,0.90,mainland-term,台灣系統設定術語,tech,exact,,,,true
option,選項,选项,選項,option,0.85,mainland-term,台灣系統設定術語,tech,exact,,,,true
setting,設定,设置,設置,setting,0.90,mainland-term,台灣系統設定術語,tech,exact,,,,true
configuration,組態,配置,配置,configuration,0.90,mainland-term,台灣系統設定術語,tech,exact,,,,true
profile,設定檔,配置文件,配置文件,profile,0.90,mainland-term,台灣系統設定術語,tech,exact,,,,true
shortcut,捷徑,快捷方式,快捷方式,shortcut,0.90,mainland-term,台灣系統功能術語,tech,exact,,,,true
hotkey,快速鍵,热键,熱鍵,hotkey,0.90,mainland-term,台灣鍵盤操作術語,tech,exact,,,,true
keyboard-shortcut,鍵盤快速鍵,键盘快捷键,鍵盤快捷鍵,keyboard shortcut,0.90,mainland-term,台灣鍵盤操作術語,tech,exact,,,,true
context-menu,快顯功能表,右键菜单,右鍵菜單,context menu,0.90,mainland-term,台灣介面操作術語,tech,exact,,,,true
right-click,按右鍵,右击,右擊,right-click,0.90,mainland-term,台灣滑鼠操作術語,tech,exact,,,,true
double-click,按兩下,双击,雙擊,double-click,0.90,mainland-term,台灣滑鼠操作術語,tech,exact,,,,true
drag-drop,拖放,拖放,拖放,drag and drop,0.85,mainland-term,台灣介面操作術語,tech,exact,,,,true
zoom-out,縮小,缩小,縮小,zoom out,0.85,mainland-term,台灣顯示操作術語,tech,exact,,,,true
resize,調整大小,调整大小,調整大小,resize,0.85,mainland-term,台灣視窗操作術語,tech,exact,,,,true
fullscreen,全螢幕,全屏,全屏,fullscreen,0.90,mainland-term,台灣顯示模式標準,tech,exact,,,,true
screenshot,螢幕擷取,截屏,截屏,screenshot,0.90,mainland-term,台灣螢幕操作標準,tech,exact,,,,true
screensaver,螢幕保護程式,屏保,屏保,screensaver,0.90,mainland-term,台灣系統功能標準,tech,exact,,,,true
